Code,Common Name,Scientific Name,,,
AMS,American Shad,Alosa sapidissima,,,
BGS,Bluegill,Lepomis macrochirus,,,
BKS,Black Crappie,Pomoxis nigromaculatus,,,
BRB,Brown Bullhead,Ameiurus nebulosus,,,
C,Common Carp,Cyprinus carpio,,,
CHN,Chinook Salmon,Oncorhynchus tshawytscha,,,
GF,Gold Fish,Carassius auratus,,,
GSN,Golden Shiner,Notemigonus crysoleucas,,,
HCH,Sacramento Hitch,Lavinia exilicauda exilicauda,,,
LMB,Largemouth Bass,Micropterus salmoides,,,
LP,Bigscale Logperch,Percina macrolepida,,,
MSS,Inland Mississippi Silverside,Menidia beryllina subspecies,,,
PRS,Prickly Sculpin,Cottus asper subspecies,,,
RES,Redear Sunfish,Lepomis microlophus,,,
RSN,Red Shiner,Cyprinella lutrensis,,,
SAPM,Sacramento Pikeminnow,Ptychocheilus grandis,,,
SASU,Sacramento Sucker,Catostomus occidentalis occidentalis,,,
SCB,Sacramento Blackfish,Orthodon microlepidotus,,,
SHM,Shimofuri Goby,Tridentiger bifasciatus,,,
STB,Striped Bass,Morone saxatilis,,,
TFS,Threadfin Shad,Dorosoma petenense,,,
TP,Tule Perch,Hysterocarpus traskii traskii,,,
W,Warmouth,Lepomis gulosus,,,
WHS,White Crappie,Pomoxis annularis,,,
YEB,Yellow Bullhead,Ameiurus natalis,,,
YFG,Yellowfin Goby,Acanthogobius flavimanus,,,
,,,,,
