"SampleRowID","MethodCode","StationCode","SampleDate","SampleTime","QADone","GearID","WaterTemperature","Salinity","DO","PctSaturation","Secchi","SpecificConductance","TideCode","UserName","SeineDirectionCode","SeineLength","SeineWidth","SeineDepth","SeineComments","TowDuration","TrawlComments","StartMeter","EndMeter","TotalMeter","SledComments"
"{0004B2C5-3E38-4035-9F25-EF30C031AD11}","OTR","GY1",6/20/2019 0:00:00,12/30/1899 9:41:00,0,,21.40,0.80,4.70,53.00,12.00,1673,"outgoing","taorear",,20.00,10.00,,,5.00,,,,,
"{00C521A3-9D98-46C4-9E55-1B703DF8A6AD}","OTR","NS3",8/20/2019 0:00:00,12/30/1899 13:35:00,0,,21.90,3.40,7.60,88.00,33.00,6228,"incoming","taorear",,20.00,10.00,,,5.00,,,,,
"{02708DD4-AA17-470A-BC44-9A74C458B661}","OTR","MZ2",9/19/2019 0:00:00,12/30/1899 12:52:00,0,,21.10,0.60,8.40,95.00,41.00,1213,"outgoing","taorear",,20.00,10.00,,,10.00,,,,,
"{02CD6525-A604-490B-91FB-BDFB017844B0}","BSEIN","DV2",10/16/2019 0:00:00,12/30/1899 11:26:00,0,,16.30,4.40,5.40,56.00,42.00,7846,"incoming","taorear","P",20.00,10.00,0.80,,,,,,,
"{02F7D570-51E1-4DC6-80A8-A7E408C7D097}","OTR","GY2",2/21/2019 0:00:00,12/30/1899 9:26:00,0,,9.00,5.20,6.20,55.00,26.00,9198,"outgoing","taorear",,20.00,10.00,,,5.00,,,,,
"{0535EEF7-837F-420D-9A41-E70D004EEE01}","BSEIN","DV2",6/17/2019 0:00:00,12/30/1899 7:18:00,0,,21.40,1.10,5.00,57.00,27.00,2177,"outgoing","taorear","P",20.00,10.00,0.86,,,,,,,
"{085BECF3-D233-4E35-ADCF-6CE27F591623}","OTR","GY3",2/21/2019 0:00:00,12/30/1899 11:05:00,0,,9.70,3.00,8.30,75.00,17.00,5594,"incoming","taorear",,20.00,10.00,,,5.00,,,,,
"{09B4EFEE-B035-43D1-BF10-FEF7794C24A2}","BSEIN","DV2",2/19/2019 0:00:00,12/30/1899 9:30:00,0,,9.00,1.00,9.00,78.00,27.00,1895,"incoming","taorear","P",20.00,10.00,1.06,,,,,,,
"{0A275A91-8FEA-41D5-9901-42F650EC1675}","OTR","SB1",9/17/2019 0:00:00,12/30/1899 8:02:00,0,,19.70,4.10,5.80,65.00,39.00,7317,"outgoing","taorear",,20.00,10.00,,,5.00,,,,,
"{0A69FC5A-745F-42FE-B3B3-F54EFB19ED0D}","OTR","PT1",3/20/2019 0:00:00,12/30/1899 8:30:00,0,,14.40,0.70,6.40,62.00,26.00,1404,"outgoing","taorear",,20.00,10.00,,,5.00,,,,,
"{0AFD97CC-A7E1-42AA-B9FE-34DD9B83D674}","BSEIN","MZ6",11/14/2019 0:00:00,12/30/1899 9:05:00,0,,14.70,4.60,7.40,74.00,36.00,8217,"outgoing","taorear","P",20.00,10.00,0.85,,,,,,,
"{0BCD00FD-741D-450C-82E5-0FE5A79BEAE2}","OTR","DV2",10/16/2019 0:00:00,12/30/1899 8:38:00,0,,16.20,4.30,5.60,58.00,33.00,7697,"outgoing","taorear",,20.00,10.00,,,5.00,,,,,
"{0C343B84-5316-486D-A5B4-444B3965FA0E}","BSEIN","MZ6",7/17/2019 0:00:00,12/30/1899 13:55:00,0,,22.70,1.20,6.40,77.00,19.00,2423,"incoming","taorear","P",20.00,10.00,1.03,,,,,,,
"{0E3A2131-3326-488F-8BAE-0A1746481F25}","OTR","PT2",8/21/2019 0:00:00,12/30/1899 9:45:00,0,,21.40,2.30,5.50,62.00,33.00,4390,"outgoing","taorear",,20.00,10.00,,,5.00,,,,,
"{0F4EEE47-3A39-4716-B1CB-B17CCC5E53AE}","OTR","SB1",11/11/2019 0:00:00,12/30/1899 13:11:00,0,,14.70,4.80,5.70,58.00,26.00,8638,"high","taorear",,20.00,10.00,,,5.00,,,,,
"{0FAF218D-6865-44C0-B119-0101FF7A40B5}","OTR","SU1",11/11/2019 0:00:00,12/30/1899 9:27:00,0,,14.10,4.70,5.70,57.00,30.00,8400,"incoming","taorear",,20.00,10.00,,,10.00,,,,,
"{103530E4-30AC-4BD0-8ED3-19219A88F1B4}","OTR","GY1",7/18/2019 0:00:00,12/30/1899 9:18:00,0,,21.20,3.70,3.40,46.00,23.00,6762,"outgoing","taorear",,20.00,10.00,,,5.00,,,,,
"{10C5E64B-2FA4-4BC0-B7F0-F98D682982E4}","OTR","SB1",2/20/2019 0:00:00,12/30/1899 13:42:00,0,,10.10,0.80,7.70,69.00,21.00,1542,"incoming","taorear",,20.00,10.00,,,5.00,,,,,
"{11DDB398-5429-4BE4-BECA-A0CE17DA288C}","OTR","SU4",11/13/2019 0:00:00,12/30/1899 12:48:00,0,,15.00,7.70,9.40,97.00,56.00,13215,"incoming","taorear",,20.00,10.00,,,10.00,,,,,
"{123D8D86-347C-4A52-8869-DB913BF0B72E}","OTR","GY2",3/21/2019 0:00:00,12/30/1899 9:15:00,0,,13.80,3.10,4.40,43.00,23.00,5757,"outgoing","taorear",,20.00,10.00,,,5.00,,,,,
"{134CE9E5-167F-4EE9-963C-7BA6E14E030F}","OTR","SB1",6/19/2019 0:00:00,12/30/1899 7:55:00,0,,20.70,1.00,4.20,48.00,16.00,1939,"outgoing","taorear",,20.00,10.00,,,5.00,,,,,
"{1358D165-E3B0-49FB-BB30-1D369D20E01E}","BSEIN","DV2",11/13/2019 0:00:00,12/30/1899 8:40:00,0,,14.20,4.70,6.60,65.00,36.00,8337,"incoming","taorear","P",20.00,10.00,0.90,,,,,,,
