"SeineRowID","SampleRowID","SeineDirectionCode","SeineLength","SeineWidth","SeineDepth","SeineComments"
"{007190CF-1FBA-4316-9CBB-00740AFFCE81}","{EC33F807-A540-4C3F-AE50-35A00DEF196B}","P",20.00,10.00,0.90,"crew: AW, SP; seine#2"
"{007620CD-F1A0-4A28-9217-01350FEC2A7E}","{FECB6A70-5E65-484A-9BEF-B98EC786A6C8}",,20.00,10.00,,
"{007B3FC3-DBD8-4E33-9CD0-9E1B94ADF71F}","{BCBC6424-2B2B-4D1E-B346-D34C209519C5}",,20.00,10.00,,
"{007BF18A-01EF-4502-BB49-30CBDC73A6F4}","{75C47A55-215C-4F09-9DD4-6116F82B372C}","J",20.00,10.00,1.00,"crew: AM, AW, TO; seine#3"
"{00A16D9B-6D77-421F-9D5D-F90911077F77}","{E608E688-069E-436B-9DC3-7F76D3D52B6C}","P",20.00,10.00,1.04,
"{00ACE8F9-C5BB-4160-AB81-79A502B921E1}","{5DCBD082-6D71-417C-9F9F-52934152D85C}",,20.00,10.00,0.50,
"{012481F7-A450-4978-86D9-C19142894338}","{63668FB1-6F39-41EB-AEE8-8571302F7831}","P",20.00,10.00,0.65,
"{013705F5-1D89-4048-B5E2-698DE0895E9A}","{989E70D0-8694-4E41-BF8C-D59E38D76C44}","P",20.00,10.00,0.90,
"{01A2D2B3-65C4-485B-9CE4-C19059438EEF}","{EC9B2DF0-5C97-40AF-972A-0644B9A8FEAB}",,20.00,10.00,0.90,
"{01AC8F92-3676-449D-BF1B-AA99DE4C674C}","{80A1AF16-6767-4B8C-8D0B-77BD8AD5D08F}","P",20.00,10.00,0.90,
"{01B237E7-9455-4736-A5F6-F0135D28F902}","{DE5203E2-78A2-42C9-AE1F-F9E3B01A9E34}",,20.00,10.00,,
"{01B7045A-7693-4E4E-9A06-063D63245924}","{D70F8A39-16B7-46A3-BBBF-80D3F4BD63B7}","P",20.00,10.00,0.50,"crew: TO, MY, KP, AC; seine#3"
