"SledRowID","SampleRowID","StartMeter","EndMeter","TotalMeter","SledComments"
"{01725915-5D69-11D4-B974-006008C01BCF}","{01724956-5D69-11D4-B974-006008C01BCF}",874763,889298,14535,
"{01725916-5D69-11D4-B974-006008C01BCF}","{01724957-5D69-11D4-B974-006008C01BCF}",889298,907282,17984,
"{01725917-5D69-11D4-B974-006008C01BCF}","{01724958-5D69-11D4-B974-006008C01BCF}",907282,925069,17787,
"{01725918-5D69-11D4-B974-006008C01BCF}","{01724959-5D69-11D4-B974-006008C01BCF}",925685,948208,22523,
"{01725919-5D69-11D4-B974-006008C01BCF}","{0172495A-5D69-11D4-B974-006008C01BCF}",948208,973644,25436,
"{0172591A-5D69-11D4-B974-006008C01BCF}","{0172495B-5D69-11D4-B974-006008C01BCF}",973644,995795,22151,
"{0172591B-5D69-11D4-B974-006008C01BCF}","{0172495C-5D69-11D4-B974-006008C01BCF}",995795,1006312,10517,
"{0172591C-5D69-11D4-B974-006008C01BCF}","{0172495D-5D69-11D4-B974-006008C01BCF}",6312,17017,10705,
"{0172591D-5D69-11D4-B974-006008C01BCF}","{0172495E-5D69-11D4-B974-006008C01BCF}",17017,27088,10071,
"{0172591E-5D69-11D4-B974-006008C01BCF}","{0172495F-5D69-11D4-B974-006008C01BCF}",27088,49115,22027,
"{0172591F-5D69-11D4-B974-006008C01BCF}","{01724960-5D69-11D4-B974-006008C01BCF}",49115,70313,21198,
"{01725920-5D69-11D4-B974-006008C01BCF}","{01724961-5D69-11D4-B974-006008C01BCF}",70313,92289,21976,
"{01725921-5D69-11D4-B974-006008C01BCF}","{01724962-5D69-11D4-B974-006008C01BCF}",92289,114393,22104,
"{01725922-5D69-11D4-B974-006008C01BCF}","{01724963-5D69-11D4-B974-006008C01BCF}",114393,133424,19031,
"{01725923-5D69-11D4-B974-006008C01BCF}","{01724964-5D69-11D4-B974-006008C01BCF}",133424,154530,21106,
"{01725924-5D69-11D4-B974-006008C01BCF}","{01724965-5D69-11D4-B974-006008C01BCF}",154530,173407,18877,
"{01725925-5D69-11D4-B974-006008C01BCF}","{01724966-5D69-11D4-B974-006008C01BCF}",173407,192923,19516,
"{01725926-5D69-11D4-B974-006008C01BCF}","{01724967-5D69-11D4-B974-006008C01BCF}",192923,214292,21369,
"{01725927-5D69-11D4-B974-006008C01BCF}","{01724968-5D69-11D4-B974-006008C01BCF}",214020,236023,22003,
"{01725928-5D69-11D4-B974-006008C01BCF}","{01724969-5D69-11D4-B974-006008C01BCF}",236023,256425,20402,
"{01725929-5D69-11D4-B974-006008C01BCF}","{0172496A-5D69-11D4-B974-006008C01BCF}",256425,275626,19201,
"{0172592A-5D69-11D4-B974-006008C01BCF}","{0172496B-5D69-11D4-B974-006008C01BCF}",275626,293700,18074,
"{0172592B-5D69-11D4-B974-006008C01BCF}","{0172496C-5D69-11D4-B974-006008C01BCF}",293700,314922,21222,
"{0172592C-5D69-11D4-B974-006008C01BCF}","{0172496D-5D69-11D4-B974-006008C01BCF}",314922,336797,21875,
"{0172592D-5D69-11D4-B974-006008C01BCF}","{0172496E-5D69-11D4-B974-006008C01BCF}",336797,358217,21420,
"{0172592E-5D69-11D4-B974-006008C01BCF}","{0172496F-5D69-11D4-B974-006008C01BCF}",358217,375834,17617,
"{0172592F-5D69-11D4-B974-006008C01BCF}","{01724970-5D69-11D4-B974-006008C01BCF}",380616,402021,21405,
"{01725930-5D69-11D4-B974-006008C01BCF}","{01724971-5D69-11D4-B974-006008C01BCF}",402021,423971,21950,
"{01725931-5D69-11D4-B974-006008C01BCF}","{01724972-5D69-11D4-B974-006008C01BCF}",423971,441480,17509,
"{01725932-5D69-11D4-B974-006008C01BCF}","{01724973-5D69-11D4-B974-006008C01BCF}",441480,460548,19068,
"{01725933-5D69-11D4-B974-006008C01BCF}","{01724974-5D69-11D4-B974-006008C01BCF}",460548,470862,10314,
"{01725934-5D69-11D4-B974-006008C01BCF}","{01724975-5D69-11D4-B974-006008C01BCF}",470862,481671,10809,
"{01725935-5D69-11D4-B974-006008C01BCF}","{01724976-5D69-11D4-B974-006008C01BCF}",481671,492018,10347,
"{01725936-5D69-11D4-B974-006008C01BCF}","{01724977-5D69-11D4-B974-006008C01BCF}",494087,515745,21658,
"{01725937-5D69-11D4-B974-006008C01BCF}","{01724978-5D69-11D4-B974-006008C01BCF}",540152,560207,20055,
"{01725938-5D69-11D4-B974-006008C01BCF}","{01724979-5D69-11D4-B974-006008C01BCF}",560207,572692,12485,
"{01725939-5D69-11D4-B974-006008C01BCF}","{0172497A-5D69-11D4-B974-006008C01BCF}",572692,584962,12270,
"{0172593A-5D69-11D4-B974-006008C01BCF}","{0172497B-5D69-11D4-B974-006008C01BCF}",584962,599622,14660,
"{0172593B-5D69-11D4-B974-006008C01BCF}","{0172497C-5D69-11D4-B974-006008C01BCF}",611398,634958,23560,
