"s_GUID","TransferTime","UserName","Sample","Catch","Depth","SeineEffort","TrawlEffort","SledEffort","Status"
"{9E9640D5-EE5D-4715-AF77-3605520AAF2E}",2003-02-16 20:27:59,"Robert",,,,,,,"Interrupted"
"{3C0E7A9E-CC44-4630-A1F9-731C9DCD1371}",2003-02-16 20:31:26,"Robert",,,,,,,"Interrupted"
"{68826372-919C-4194-A5A7-13419B29638B}",2003-02-16 20:31:52,"Robert",,,,,,,"Interrupted"
"{28BA3A58-9F6C-4B07-B678-CF9B4B10A08A}",2003-02-16 21:20:54,"Robert",,,,,,,"Interrupted"
"{6C695F02-0AE0-4F2A-B65A-E874FBC16BEC}",2003-02-17 6:54:06,"Robert",,,,,,,"Interrupted"
"{CC846BFC-70E9-4393-939A-A1773660E314}",2003-02-17 22:27:25,"Robert",10,150,,0,10,0,"Interrupted"
"{61C1E068-36D3-4611-A5DC-BF6B2B9A7487}",2003-02-17 22:29:12,"Robert",,,,,,,"Interrupted"
"{D1110ECB-B309-4315-80E9-740CF534D6FD}",2003-02-17 22:30:17,"Robert",,,,,,,"Interrupted"
"{4AC9839C-57B5-4B89-AEDF-C76121CD2CA9}",2003-02-17 22:31:53,"Robert",,,,,,,"Interrupted"
"{8424CE6E-C7B9-41C7-A1F0-48F057BC995A}",2003-02-18 13:42:30,"Robert",,,,,,,"Interrupted"
"{909A8811-4B15-47CA-BB38-E94661F34DEE}",2003-02-18 13:44:26,"Robert",,,,,,,"Interrupted"
"{ED3FB648-C5CC-4AB9-98F9-3C414CC84ADB}",2003-02-18 13:49:07,"Robert",,,,,,,"Interrupted"
"{70D5BAB4-6F5F-4947-A4F9-B78E8F96DEFD}",2003-02-18 17:00:25,"Robert",,,,,,,"Interrupted"
"{E155DEE2-7D26-44B2-B805-87BA935F8689}",2003-02-19 12:17:22,"Robert",,,,,,,"Interrupted"
"{55178D49-8525-4EF6-8CDB-6DBCE4B7BF7F}",2003-02-19 12:18:25,"Robert",,,,,,,"Interrupted"
"{879E59A1-F829-41B0-B3EB-CD49653ECF22}",2003-02-19 12:19:18,"Robert",,,,,,,
"{69D8D0FD-D093-4BBC-B20D-A5E3AF2D3D0D}",2003-02-19 12:22:10,"Robert",,,,,,,
"{FFFF3491-339F-43BD-920F-DAF93CFC1E77}",2003-02-19 12:24:49,"Robert",,,,,,,
"{F1C56713-0837-471F-85F2-08D997C7AB97}",2003-02-19 12:27:44,"Robert",,,,,,,
"{92939747-2D33-437A-A6B4-6963A8810DC0}",2003-02-19 12:28:59,"Robert",,,,,,,
"{8AFB2540-12CA-408B-AB18-44504EF317A2}",2003-02-19 12:39:28,"Robert",,,,,,,"Interrupted"
"{E6B7D228-0CAB-459F-9D9B-6CF0A3B7B834}",2003-02-19 12:43:02,"Robert",,,,,,,"Interrupted"
"{38D95929-2906-4226-9D5F-0995A5D8CC5B}",2003-02-19 12:44:40,"Robert",,,,,,,"Interrupted"
"{6472B537-C979-491F-89D8-EEC3EF2ED7C4}",2003-02-19 12:45:13,"Robert",,,,,,,
"{A9D94453-DD1C-4DCC-BF98-6FBEBF68226F}",2003-02-19 12:45:54,"Robert",,,,,,,
"{1485E1D4-1783-443C-B877-8D158F4EA80D}",2003-02-19 12:49:21,"Robert",,,,,,,
"{61821583-7CFB-42B6-A4D9-D468E08551EB}",2003-02-19 13:03:41,"Robert",,,,,,,"Interrupted"
"{DBB93CF1-82D7-4480-AD6D-7D513DAA4788}",2003-02-19 13:03:55,"Robert",,,,,,,"Interrupted"
"{F14F8DCA-F7CC-41A7-BC67-CF5168831395}",2003-02-19 13:11:32,"Robert",1,1,,0,1,0,"Complete"
"{DF00A283-BDFE-488F-B91D-30FFAB4BC2D1}",2003-02-19 13:11:48,"Robert",,,,,,,"Interrupted"
"{61681530-9F2E-40FF-8883-11D6C04995BC}",2003-02-19 13:14:30,"Robert",,,,,,,"Interrupted"
"{E439E25A-C343-4855-B4FF-FEE256C8AF60}",2003-02-19 13:44:38,"Robert",,,,,,,"Interrupted"
"{D25E54D0-F0FF-4158-A27B-38FD2B116EA5}",2003-02-19 13:47:27,"Robert",1,1,,0,1,0,"Complete"
"{DEB2B1AF-3426-4079-9279-900A56569538}",2003-02-19 13:48:50,"Robert",,,,,,,"Interrupted"
"{530EC4CA-2D7B-4D5D-BA0F-431882BAAFA5}",2003-02-19 13:53:28,"Robert",7,65,,0,7,0,"Complete"
"{7EA53C7D-FB16-438B-8E3B-6DD706B7F1EC}",2003-02-19 14:54:44,"katie",1,0,,1,0,0,"Complete"
"{A83D235A-15C5-47D4-B56D-D6A1E38B6A77}",2003-03-18 17:24:33,"robert",228,5042,787,58,170,0,"Complete"
