OBJECTID,FID_ds2676,NVCSName,NVCSLevel,MapClass,MapClassCode,Original_2015,Original_2015_Code,Cov_2015,Dist_2015,Ht_2015,Notes_2015,ID_2015,Habitat,MgmtRegion,Lepidium,CalVegName,CalVegCode,CWHRType,CWHRCode,GlobalRank,StateRank,Rare,CaCode,NVCSAlliance,NVCSGroup,NVCSMG,UID,Acres,Hectares,FID_ucdbuffer,Id,Code,SiteName,Slough,Descriptor,Status,Type,Notes,BUFF_DIST,ORIG_FID,Shape_Length,Shape_Area
1,333,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,>75%,Not evident,2-5m,,Photo interpretation,Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA00333,0.0535985,0.0216906,19,0,MZ2,Montezuma 2,Montezuma,Boat ramp/Griz. Is.WR outfall,Current,Trawl, ,3280.833333330000200,19,68.714269665879982,216.880654748455580
2,334,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,>75%,Not evident,2-5m,,Photo interpretation,Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA00334,0.0221098,0.0089475,19,0,MZ2,Montezuma 2,Montezuma,Boat ramp/Griz. Is.WR outfall,Current,Trawl, ,3280.833333330000200,19,35.373033235085821,89.464977407377688
3,335,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,25-50%,Not evident,2-5m,,Photo interpretation,Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA00335,1.3507167,0.5466157,19,0,MZ2,Montezuma 2,Montezuma,Boat ramp/Griz. Is.WR outfall,Current,Trawl, ,3280.833333330000200,19,564.661858123256140,5465.536551172282100
4,336,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,50-75%,Not evident,2-5m,,Photo interpretation,Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA00336,0.0151766,0.0061417,19,0,MZ2,Montezuma 2,Montezuma,Boat ramp/Griz. Is.WR outfall,Current,Trawl, ,3280.833333330000200,19,32.808579715197673,61.409951324387436
5,337,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,>75%,Not evident,2-5m,,Photo interpretation,Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA00337,0.2088121,0.0845033,19,0,MZ2,Montezuma 2,Montezuma,Boat ramp/Griz. Is.WR outfall,Current,Trawl, ,3280.833333330000200,19,105.002654332656730,844.935564689839110
6,344,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,>75%,Not evident,2-5m,,Photo interpretation,Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA00344,0.0254911,0.0103159,19,0,MZ2,Montezuma 2,Montezuma,Boat ramp/Griz. Is.WR outfall,Current,Trawl, ,3280.833333330000200,19,37.337445548615946,103.146183654089650
7,345,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,>75%,Not evident,2-5m,,Photo interpretation,Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA00345,0.0157376,0.0063688,19,0,MZ2,Montezuma 2,Montezuma,Boat ramp/Griz. Is.WR outfall,Current,Trawl, ,3280.833333330000200,19,33.371829016549611,63.680282885712401
8,350,Frankenia salina - Distichlis,Association,Frankenia salina - Distichlis spicata Association,8212202,Frankenia salina-Distichlis spicata Association,318,25-50%,Not evident,<0.5m,,Photo interpretation,Leveed (not tidal),4,Absent,Pickleweed-Cordgrass,HC,Saline Emergent Wetland,SEW,,,Y,52.500.04,Frankenia salina,Southwestern North American salt basin and high marsh,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,SUMA00350,1.6386606,0.6631424,19,0,MZ2,Montezuma 2,Montezuma,Boat ramp/Griz. Is.WR outfall,Current,Trawl, ,3280.833333330000200,19,398.589456524534060,6630.666744747028100
9,388,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,>75%,Not evident,2-5m,,Photo interpretation,Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA00388,0.0941824,0.0381143,19,0,MZ2,Montezuma 2,Montezuma,Boat ramp/Griz. Is.WR outfall,Current,Trawl, ,3280.833333330000200,19,105.515574276388830,381.099436437675190
10,390,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,>75%,Not evident,2-5m,,Photo interpretation,Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA00390,0.0665039,0.0269132,19,0,MZ2,Montezuma 2,Montezuma,Boat ramp/Griz. Is.WR outfall,Current,Trawl, ,3280.833333330000200,19,61.593371147560411,269.100590296216470
11,835,Frankenia salina - Distichlis,Association,Frankenia salina - Distichlis spicata Association,8212202,Frankenia salina-Distichlis spicata Association,318,25-50%,Not evident,0.5-1m,,Photo interpretation,Leveed (not tidal),4,Absent,Pickleweed-Cordgrass,HC,Saline Emergent Wetland,SEW,,,Y,52.500.04,Frankenia salina,Southwestern North American salt basin and high marsh,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,SUMA00835,3.8470058,1.5568280,19,0,MZ2,Montezuma 2,Montezuma,Boat ramp/Griz. Is.WR outfall,Current,Trawl, ,3280.833333330000200,19,704.033672148982990,12911.266909856022000
12,932,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,>75%,Not evident,2-5m,,Photo interpretation,Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA00932,0.1562950,0.0632503,19,0,MZ2,Montezuma 2,Montezuma,Boat ramp/Griz. Is.WR outfall,Current,Trawl, ,3280.833333330000200,19,104.678368016403620,632.431085260033460
13,933,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,>75%,Not evident,2-5m,,Photo interpretation,Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA00933,0.0437194,0.0176926,19,0,MZ2,Montezuma 2,Montezuma,Boat ramp/Griz. Is.WR outfall,Current,Trawl, ,3280.833333330000200,19,48.439093149696703,176.905574532633440
14,934,Frankenia salina - Distichlis,Association,Frankenia salina - Distichlis spicata Association,8212202,Frankenia salina-Distichlis spicata Association,318,25-50%,Not evident,<0.5m,,Photo interpretation,Leveed (not tidal),4,Absent,Pickleweed-Cordgrass,HC,Saline Emergent Wetland,SEW,,,Y,52.500.04,Frankenia salina,Southwestern North American salt basin and high marsh,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,SUMA00934,1.4893374,0.6027135,19,0,MZ2,Montezuma 2,Montezuma,Boat ramp/Griz. Is.WR outfall,Current,Trawl, ,3280.833333330000200,19,403.494263997004110,6026.442567711789700
15,1479,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,>75%,Not evident,2-5m,,Photo interpretation,Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA01479,0.3545989,0.1435011,19,0,MZ2,Montezuma 2,Montezuma,Boat ramp/Griz. Is.WR outfall,Current,Trawl, ,3280.833333330000200,19,141.153438992371260,1434.849526235371500
16,1866,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,>75%,Not evident,2-5m,,Photo interpretation,Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA01866,0.0173151,0.0070072,19,0,MZ2,Montezuma 2,Montezuma,Boat ramp/Griz. Is.WR outfall,Current,Trawl, ,3280.833333330000200,19,31.934217706562027,70.064039899553663
17,1867,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,>75%,Not evident,2-5m,,Photo interpretation,Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA01867,0.0910537,0.0368481,19,0,MZ2,Montezuma 2,Montezuma,Boat ramp/Griz. Is.WR outfall,Current,Trawl, ,3280.833333330000200,19,77.912423517884250,368.437619940894420
18,1869,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,10-25%,Not evident,2-5m,,Photo interpretation,Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA01869,0.3485378,0.1410483,19,0,MZ2,Montezuma 2,Montezuma,Boat ramp/Griz. Is.WR outfall,Current,Trawl, ,3280.833333330000200,19,85.884142348853473,510.406042883888970
19,1889,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,>75%,Not evident,2-5m,,Photo interpretation,Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA01889,0.0394408,0.0159611,19,0,MZ2,Montezuma 2,Montezuma,Boat ramp/Griz. Is.WR outfall,Current,Trawl, ,3280.833333330000200,19,47.014489114488917,159.592138680628240
20,3125,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,>75%,Not evident,2-5m,,Photo interpretation,Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA03125,0.0345805,0.0139942,19,0,MZ2,Montezuma 2,Montezuma,Boat ramp/Griz. Is.WR outfall,Current,Trawl, ,3280.833333330000200,19,43.119862217430430,139.925773259709270
21,3126,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,>75%,Not evident,2-5m,,Photo interpretation,Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA03126,0.0399499,0.0161672,19,0,MZ2,Montezuma 2,Montezuma,Boat ramp/Griz. Is.WR outfall,Current,Trawl, ,3280.833333330000200,19,51.720487460350846,161.652308773500010
22,3127,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,>75%,Not evident,2-5m,,Photo interpretation,Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA03127,0.0321614,0.0130152,19,0,MZ2,Montezuma 2,Montezuma,Boat ramp/Griz. Is.WR outfall,Current,Trawl, ,3280.833333330000200,19,47.545564577462109,130.137231623605910
23,3128,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,>75%,Not evident,2-5m,,Photo interpretation,Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA03128,0.1872505,0.0757776,19,0,MZ2,Montezuma 2,Montezuma,Boat ramp/Griz. Is.WR outfall,Current,Trawl, ,3280.833333330000200,19,89.471152988368686,376.319814298190520
24,3129,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,>75%,Not evident,2-5m,,Photo interpretation,Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA03129,0.0395070,0.0159879,19,0,MZ2,Montezuma 2,Montezuma,Boat ramp/Griz. Is.WR outfall,Current,Trawl, ,3280.833333330000200,19,46.886175228178459,159.860756076044990
25,3415,Frankenia salina,Alliance,Frankenia salina Herbaceous Alliance,8212200,Frankenia salina Alliance,320,25-50%,Not evident,<0.5m,,Photo interpretation,Leveed (not tidal),4,Absent,Pickleweed-Cordgrass,HC,Saline Emergent Wetland,SEW,G4,S3,Y,52.500.00,Frankenia salina,Southwestern North American salt basin and high marsh,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,SUMA03415,0.9633424,0.3898508,19,0,MZ2,Montezuma 2,Montezuma,Boat ramp/Griz. Is.WR outfall,Current,Trawl, ,3280.833333330000200,19,285.566211992189320,3898.072440936791700
26,3418,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,>75%,Not evident,2-5m,,Photo interpretation,Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA03418,0.0813461,0.0329196,19,0,MZ2,Montezuma 2,Montezuma,Boat ramp/Griz. Is.WR outfall,Current,Trawl, ,3280.833333330000200,19,86.211388709801724,329.159368349762810
27,3764,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,25-50%,Not evident,2-5m,,Photo interpretation,Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA03764,0.1025734,0.0415100,19,0,MZ2,Montezuma 2,Montezuma,Boat ramp/Griz. Is.WR outfall,Current,Trawl, ,3280.833333330000200,19,252.917753313501270,415.053697297493270
28,3997,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,>75%,Not evident,2-5m,,Photo interpretation,Tidal,4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA03997,0.0642033,0.0259822,18,0,NS3,Nurse 3,Nurse,Lower/ at Cross Slough,Current,Trawl, ,3280.833333330000200,18,61.758148080634960,259.798763707613200
29,3998,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,>75%,Not evident,2-5m,,Photo interpretation,Tidal,4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA03998,0.0860079,0.0348062,18,0,NS3,Nurse 3,Nurse,Lower/ at Cross Slough,Current,Trawl, ,3280.833333330000200,18,90.116007187868291,348.032506748955430
30,3999,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,>75%,Not evident,2-5m,,Photo interpretation,Tidal,4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA03999,0.0603284,0.0244140,18,0,NS3,Nurse 3,Nurse,Lower/ at Cross Slough,Current,Trawl, ,3280.833333330000200,18,57.658295095973685,244.119817287921220
31,4000,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,>75%,Not evident,2-5m,,Photo interpretation,Tidal,4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA04000,0.0338791,0.0137104,18,0,NS3,Nurse 3,Nurse,Lower/ at Cross Slough,Current,Trawl, ,3280.833333330000200,18,43.234223103825151,137.092234122770440
32,4001,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,>75%,Not evident,2-5m,,Photo interpretation,Tidal,4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA04001,1.5839469,0.6410006,18,0,NS3,Nurse 3,Nurse,Lower/ at Cross Slough,Current,Trawl, ,3280.833333330000200,18,285.794212165336090,4724.690029843660300
33,4026,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,>75%,Not evident,2-5m,,Photo interpretation,Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA04026,2.1559672,0.8724890,19,0,MZ2,Montezuma 2,Montezuma,Boat ramp/Griz. Is.WR outfall,Current,Trawl, ,3280.833333330000200,19,691.589162471404390,8723.883005184610700
34,4171,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,>75%,Not evident,2-5m,,Photo interpretation,Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA04171,0.6388400,0.2585294,19,0,MZ2,Montezuma 2,Montezuma,Boat ramp/Griz. Is.WR outfall,Current,Trawl, ,3280.833333330000200,19,188.324657705657470,2585.002940781284000
35,4172,Distichlis spicata - Sarcocornia pacifica,Association,Distichlis spicata - Salicornia pacifica Association,8111205,Distichlis spicata-Salicornia pacifica Association,148,10-25%,Medium,<0.5m,,Photo interpretation,Leveed (not tidal),4,Absent,Pickleweed-Cordgrass,HC,Saline Emergent Wetland,SEW,,,Y,41.200.20,Distichlis spicata,Temperate Pacific tidal salt and brackish meadow,North American Pacific Coastal Salt Marsh,SUMA04172,0.5710630,0.2311010,19,0,MZ2,Montezuma 2,Montezuma,Boat ramp/Griz. Is.WR outfall,Current,Trawl, ,3280.833333330000200,19,239.462968492643140,2310.749474847878000
